Division,Section,Department,Node,Size,Key Size = 1
Clothing,Men,Bottomwear,Trousers,34,1
Clothing,Men,Bottomwear,Trousers,32,1
Clothing,Men,Bottomwear,Trousers,36,1
Clothing,Men,Bottomwear,Jeans,32,1
Clothing,Men,Bottomwear,Trousers,30,0
Clothing,Men,Bottomwear,Joggers,M,1
Clothing,Men,Bottomwear,Jeans,34,1
Clothing,Men,Bottomwear,Joggers,L,1
Clothing,Men,Bottomwear,Joggers,S,0
Clothing,Men,Bottomwear,Joggers,XL,1
Clothing,Men,Bottomwear,Jeans,36,1
Clothing,Men,Bottomwear,Trousers,38,0
Clothing,Men,Bottomwear,Jeans,30,0
Clothing,Men,Bottomwear,Shorts,34,1
Clothing,Men,Bottomwear,Trousers,L,1
Clothing,Men,Bottomwear,Shorts,32,1
Clothing,Men,Bottomwear,Shorts,36,1
Clothing,Men,Bottomwear,Trousers,XL,1
Clothing,Men,Bottomwear,Jeans,38,0
Clothing,Men,Bottomwear,Trousers,M,1
Clothing,Men,Bottomwear,Jeans,28,0
Clothing,Men,Bottomwear,Joggers,32,1
Clothing,Men,Bottomwear,Shorts,L,1
Clothing,Men,Bottomwear,Shorts,M,1
Clothing,Men,Bottomwear,Cargo Trousers,XL,1
Clothing,Men,Bottomwear,Lounge Pants,30,0
Clothing,Men,Bottomwear,Shorts,30,0
Clothing,Men,Bottomwear,Trousers,40,0
Clothing,Men,Bottomwear,Trousers,42,0
Clothing,Men,Bottomwear,Trousers,XXL,0
Clothing,Men,Bottomwear,Joggers,34,1
Clothing,Men,Bottomwear,Lounge Pants,M,1
Clothing,Men,Bottomwear,Shorts,S,0
Clothing,Men,Bottomwear,Track Pants,M,1
Clothing,Men,Bottomwear,Jeans,31,0
Clothing,Men,Bottomwear,Jeans,XXL,0
Clothing,Men,Bottomwear,Joggers,30,0
Clothing,Men,Bottomwear,Joggers,38,0
Clothing,Men,Bottomwear,Lounge Pants,42,0
Clothing,Men,Bottomwear,Shorts,28,0
Clothing,Men,Bottomwear,Shorts,38,0
Clothing,Men,Bottomwear,Shorts,XL,1
Clothing,Men,Bottomwear,Track Pants,XL,1
Clothing,Men,Bottomwear,Trousers,28,0
Clothing,Men,Bottomwear,Trousers,XS,0
Clothing,Men,Bottomwear,Cargo Trousers,32,1
Clothing,Men,Bottomwear,Cargo Trousers,34,1
Clothing,Men,Bottomwear,Cargo Trousers,36,1
Clothing,Men,Bottomwear,Cargo Trousers,L,1
Clothing,Men,Bottomwear,Cargo Trousers,M,1
Clothing,Men,Bottomwear,Cargo Trousers,S,0
Clothing,Men,Bottomwear,Jeans,L,1
Clothing,Men,Bottomwear,Lounge Pants,32,1
Clothing,Men,Innerwear,BOXERS,XL,1
Clothing,Men,Innerwear,BOXERS,XXL,0
Clothing,Men,Innerwear,Briefs,XL,1
Clothing,Men,Innerwear,Briefs,XXL,0
Clothing,Men,Innerwear,Trunk,XL,1
Clothing,Men,Innerwear,Trunk,XXL,0
Clothing,Men,Innerwear,Vests,XL,1
Clothing,Men,Innerwear,Vests,XS,0
Clothing,Men,Innerwear,Vests,XXL,0
Clothing,Men,Topwear,Shirt,M,1
Clothing,Men,Topwear,Tshirts,L,1
Clothing,Men,Topwear,Tshirts,M,1
Clothing,Men,Topwear,Shirt,L,1
Clothing,Men,Topwear,Shirt,XL,1
Clothing,Men,Topwear,Tshirts,XL,1
Clothing,Men,Topwear,Tshirts,S,0
Clothing,Men,Topwear,Shirt,S,0
Clothing,Men,Topwear,Shirt,42,1
Clothing,Men,Topwear,Shirt,40,1
Clothing,Men,Topwear,Shirt,44,1
Clothing,Men,Topwear,Shirt,XXL,0
Clothing,Men,Topwear,Tshirts,XXL,0
Clothing,Men,Topwear,Shirt,39,0
Clothing,Men,Topwear,Shirt,46,0
Clothing,Men,Topwear,Shirt,XS,0
Clothing,Men,Topwear,T-Shirts,L,1
Clothing,Men,Topwear,Kurtas,44,0
Clothing,Men,Topwear,Shirts,S,0
Clothing,Men,Topwear,Sweatshirts,L,1
Clothing,Men,Topwear,Kurtas,40,0
Clothing,Men,Topwear,Kurtas,42,0
Clothing,Men,Topwear,Kurtas,46,0
Clothing,Men,Topwear,Shirt,XXXL,0
Clothing,Men,Topwear,Tshirts,3XL,0
Clothing,Men,Topwear,Co-Ords,L,1
Clothing,Men,Topwear,Shirt,3XL,0
Clothing,Men,Topwear,T-Shirts,XL,1
Clothing,Men,Topwear,Co-Ords,M,1
Clothing,Men,Topwear,T-Shirts,XS,0
Clothing,Men,Topwear,Tshirts,XS,0
Clothing,Men,Topwear,Shackets,S,0
Clothing,Men,Topwear,Sweaters,L,1
Clothing,Men,Topwear,Sweaters,M,1
Clothing,Men,Topwear,Sweatshirts,M,1
Clothing,Men,Topwear,T-Shirts,M,1
Clothing,Men,Topwear,Co-Ords,XL,1
Clothing,Men,Topwear,Shackets,XXL,0
Clothing,Men,Topwear,Shapewear,XL,1
Clothing,Men,Topwear,Sweatshirts,XL,1
Clothing,Men,Topwear,Tshirts,XXXL,0
Clothing,Men,Topwear,Co-Ords,S,0
Clothing,Men,Topwear,Shackets,L,1
Clothing,Men,Topwear,Shapewear,M,1
Clothing,Men,Topwear,T-Shirts,S,0
Clothing,Men,Topwear,Kurtas,39,0
Clothing,Men,Topwear,Lounge Tshirts,XL,1
Clothing,Men,Topwear,Shackets,XL,1
Clothing,Men,Topwear,Shirts,XL,1
Clothing,Men,Topwear,Sweaters,XL,1
Clothing,Men,Topwear,Tshirts,Onesize,0
Clothing,Men,Topwear,Shackets,M,1
Clothing,Men,Topwear,Shapewear,L,1
Clothing,Men,Topwear,Shirts,M,1
Clothing,Men,Topwear,Sweaters,S,0
Clothing,Men,Topwear,Blazers,38,0
Clothing,Men,Topwear,Blazers,40,1
Clothing,Men,Topwear,Blazers,42,1
Clothing,Men,Topwear,Blazers,44,1
Clothing,Men,Topwear,Blazers,46,0
Clothing,Men,Topwear,Co-Ords,3XL,0
Clothing,Men,Topwear,Co-Ords,XXL,0
Clothing,Men,Topwear,Jackets,38,0
Clothing,Men,Topwear,Jackets,40,1
Clothing,Men,Topwear,Jackets,42,1
Clothing,Men,Topwear,Jackets,44,1
Clothing,Men,Topwear,Jackets,46,0
Clothing,Men,Topwear,Jackets,3XL,0
Clothing,Men,Topwear,Jackets,XL,1
Clothing,Men,Topwear,Jackets,XS,0
Clothing,Men,Topwear,Jackets,XXL,0
Clothing,Men,Bottomwear,Lounge Pants,34,1
Clothing,Men,Bottomwear,Lounge Pants,36,1
Clothing,Men,Bottomwear,Lounge Pants,L,1
Clothing,Men,Bottomwear,Lounge Shorts,32,1
Clothing,Men,Bottomwear,Lounge Shorts,34,1
Clothing,Men,Bottomwear,Track Pants,36,1
Clothing,Men,Bottomwear,Cargo Trousers,30,0
Clothing,Men,Bottomwear,Cargo Trousers,38,0
Clothing,Men,Bottomwear,Jeans,26,0
Clothing,Men,Bottomwear,Jeans,33,0
Clothing,Men,Bottomwear,Jeans,40,0
Clothing,Men,Bottomwear,Jeans,42,0
Clothing,Men,Bottomwear,Jeans,XL,1
Clothing,Men,Bottomwear,Joggers,28,0
Clothing,Men,Bottomwear,Joggers,3XL,0
Clothing,Men,Bottomwear,Joggers,XXL,0
Clothing,Men,Bottomwear,Joggers,XXXL,0
Clothing,Men,Bottomwear,Lounge Pants,28,0
Clothing,Men,Bottomwear,Lounge Pants,38,0
Clothing,Men,Bottomwear,Lounge Pants,40,0
Clothing,Men,Bottomwear,Lounge Pants,XL,1
Clothing,Men,Bottomwear,Lounge Pants,XS,0
Clothing,Men,Bottomwear,Lounge Pants,XXL,0
Clothing,Men,Bottomwear,Lounge Shorts,XL,1
Clothing,Men,Bottomwear,Shorts,40,0
Clothing,Men,Bottomwear,Shorts,XS,0
Clothing,Men,Bottomwear,Shorts,XXL,0
Clothing,Men,Bottomwear,SWEATSHIRT BLACK XL,XL,1
Clothing,Men,Bottomwear,Track Pants,28,0
Clothing,Men,Bottomwear,Track Pants,30,0
Clothing,Men,Bottomwear,Track Pants,38,0
Clothing,Men,Bottomwear,Track Pants,XS,0
Clothing,Men,Bottomwear,Track Pants,XXL,0
Clothing,Men,Bottomwear,Trousers,XXXL,0
Clothing,Men,Bottomwear,,30,0
Clothing,Men,Bottomwear,Jeans,M,1
Clothing,Men,Bottomwear,Jeans,S,0
Clothing,Men,Bottomwear,Joggers,36,1
Clothing,Men,Bottomwear,Lounge Pants,S,0
Clothing,Men,Bottomwear,Lounge Shorts,L,1
Clothing,Men,Bottomwear,Lounge Shorts,M,1
Clothing,Men,Bottomwear,Lounge Shorts,S,0
Clothing,Men,Bottomwear,SWEATSHIRT BLACK M,M,1
Clothing,Men,Bottomwear,Track Pants,32,1
Clothing,Men,Bottomwear,Track Pants,34,1
Clothing,Men,Bottomwear,Track Pants,L,1
Clothing,Men,Bottomwear,Track Pants,S,0
Clothing,Men,Bottomwear,Tracksuits,L,1
Clothing,Men,Bottomwear,Trousers,S,0
Clothing,Men,Bottomwear,,32,1
Clothing,Men,Bottomwear,,34,1
Clothing,Men,Innerwear,BOXERS,36,1
Clothing,Men,Innerwear,Briefs,36,1
Clothing,Men,Innerwear,Trunk,36,1
Clothing,Men,Topwear,Kurtas,48,0
Clothing,Men,Topwear,Kurtas,XL,1
Clothing,Men,Topwear,Kurtas,XS,0
Clothing,Men,Topwear,Kurtas,XXL,0
Clothing,Men,Topwear,Lounge Tshirts,XS,0
Clothing,Men,Topwear,Nehru Jackets,38,0
Clothing,Men,Topwear,Nehru Jackets,40,1
Clothing,Men,Topwear,Nehru Jackets,42,1
Clothing,Men,Topwear,Nehru Jackets,44,1
Clothing,Men,Topwear,Shackets,38,0
Clothing,Men,Topwear,Shackets,40,1
Clothing,Men,Topwear,Shackets,42,1
Clothing,Men,Topwear,Shackets,44,1
Clothing,Men,Topwear,Shackets,46,0
Clothing,Men,Topwear,Shackets,2XL,0
Clothing,Men,Topwear,Shapewear,XXL,0
Clothing,Men,Topwear,Shirt,38,0
Clothing,Men,Topwear,Shirt,Onesize,0
Clothing,Men,Topwear,Shirts,XS,0
Clothing,Men,Topwear,Sweaters,XS,0
Clothing,Men,Topwear,Sweaters,XXL,0
Clothing,Men,Topwear,Sweatshirts,3XL,0
Clothing,Men,Topwear,Sweatshirts,XS,0
Clothing,Men,Topwear,Sweatshirts,XXL,0
Clothing,Men,Topwear,Blazers,36,1
Clothing,Men,Topwear,Jackets,L,1
Clothing,Men,Topwear,Jackets,M,1
Clothing,Men,Topwear,Jackets,S,0
Clothing,Men,Topwear,Jumpsuits,L,1
Clothing,Men,Topwear,Jumpsuits,M,1
Clothing,Men,Topwear,Jumpsuits,S,0
Clothing,Men,Topwear,Kurtas,L,1
Clothing,Men,Topwear,Kurtas,M,1
Clothing,Men,Topwear,Kurtas,S,0
Clothing,Men,Topwear,Lounge Tshirts,L,1
Clothing,Men,Topwear,Lounge Tshirts,M,1
Clothing,Men,Topwear,Lounge Tshirts,S,0
Clothing,Men,Topwear,Shapewear,S,0
Clothing,Men,Topwear,Shirt,Small (S) 38 Medium (M) 40 Large (L) 42 Xtra Large (XL) 44 XXL 46,1
Clothing,Men,Topwear,Shirts,L,1
Clothing,Men,Topwear,Sweatshirts,S,0
Clothing,Men,Topwear,Tshirts,36,1
Clothing,Unisex,Bottomwear,Capris,Free Size,0
Clothing,Unisex,Bottomwear,Cargo Trousers,28,1
Clothing,Unisex,Bottomwear,Cargo Trousers,30,1
Clothing,Unisex,Bottomwear,Cargo Trousers,32,1
Clothing,Unisex,Bottomwear,Cargo Trousers,34,0
Clothing,Unisex,Bottomwear,Cargo Trousers,L,1
Clothing,Unisex,Bottomwear,Cargo Trousers,M,1
Clothing,Unisex,Bottomwear,Cargo Trousers,S,1
